date;tavg;tmin;tmax
1;15.4;11.3;20.7
2;12.2;9.8;15
3;12.2;9.5;14.8
4;13.3;8.3;18.1
5;13.6;10.2;15.6
6;12.2;5;18.2
7;16.6;11;23.7
8;14.3;12.3;16.4
9;12.3;7.6;16
10;11.1;7.6;14.8
11;9.7;6.5;13.1
12;10.6;5.5;13.8
13;11.9;8.5;15
14;10.7;8.3;13.2
15;10.7;7.3;13.9
16;10.2;6.4;13.3
17;11.5;5.9;15.6
18;14.4;12.2;18.4
19;12.7;9.2;15.3
20;11.6;4.8;17.4
21;12.3;9.9;14.2
22;11.7;8.1;15
23;13;8.5;18.2
24;13.4;10.2;15
25;11.2;8.2;14.5
26;11.4;8.6;14.1
27;12.2;8.8;15.2
28;12.2;6.7;15.8
29;14.2;11.2;16.7
30;14.6;12.1;17.2
31;15;7.9;20.6
32;20.1;12.4;30.4
33;15.7;13.2;18.6
34;13.6;9.4;17
35;12.4;8;16.2
36;11.7;9.8;13.5
37;14.7;10;19.3
38;17.3;11.6;22.6
39;20.1;13.8;26.3
40;17.3;13.6;20.5
41;14.5;13.3;16.8
42;13.4;10.8;16.6
43;12.3;7.2;16.1
44;15.2;8.4;21.2
45;14.1;12.1;16.1
46;13.4;11.7;16.2
47;12.9;10;16.2
48;14.6;12.7;18.5
49;13.4;10.3;15.9
50;12.4;9.6;13.9
51;15.9;11.9;21
52;17.7;11.9;22.7
53;19.8;14.5;24
54;17.7;13.9;20.5
55;17.2;11.4;22.8
56;18.6;13.8;22.4
57;20;12.5;25.9
58;25.4;16.7;32.7
59;25.1;21.1;29.2
60;23.5;17.9;28.7
61;24.5;19.1;30.1
62;19.9;16.2;27.1
63;18.5;14.5;21.8
64;19.4;13.7;24.9
65;16.5;13.1;18.2
66;13.9;10.6;16.6
67;16.5;9.5;22.8
68;19.8;15.4;27
69;18;16.7;19.5
70;17.9;16.9;19.3
71;18.1;15.4;20.2
72;17.4;14.4;19.8
73;18.7;13.1;23.1
74;21.3;18.7;24.4
75;18.2;13.6;20.8
76;16.5;14;20
77;16.9;10.8;20.5
78;20.5;17.6;24.1
79;18.8;14.9;22.3
80;17.7;14.6;20.5
81;18.5;14;22.5
82;15.7;12.9;18.5
83;14.6;9.1;20.1
84;16.7;13.6;19.1
85;16;13.8;17.9
86;14.6;10.5;16.9
87;14.2;10.8;17.9
88;13.8;8;19
89;15.6;8.8;20.8
90;17.6;10.6;23.5
91;20.8;15.1;28.1
92;18.2;15.7;20.5
93;18.5;12.3;24.6
94;20.4;14.9;26.4
95;19.1;14.3;24.5
96;18.8;16;21.9
97;18.6;12.3;24.3
98;19.7;17.4;23.1
99;19.6;16.3;23.8
100;19.3;18.2;21.4
101;21.3;16.1;26.8
102;21.3;19.2;24.7
103;18.2;16.4;20.7
104;16.1;13.2;18
105;14.2;12.9;15.4
106;15.3;14.1;16.8
107;16.9;13.7;21.8
108;18.7;13.6;25
109;19.9;14.7;24.5
110;21.4;17.3;26.5
111;20.4;16.5;25.6
112;17.7;14.3;21.5
113;16.7;14.3;19.3
114;19.5;16.5;24.2
115;16.3;15.1;18.2
116;16.1;12.5;20.3
117;16.9;11;22.6
118;19.4;15.9;23.5
119;20.5;18.3;24.5
120;16.3;13.6;18.7
121;14.2;11.2;17.6
122;12.7;9.7;15.7
123;13.7;11.7;15.6
124;13.9;11.5;17
125;13.1;10.8;16.5
126;14.3;12.6;16.8
127;14.5;12.7;16.6
128;13.9;9.5;18.4
129;14.7;10.1;19.6
130;14.7;9.9;19.1
131;15.5;12.5;19.6
132;16.1;12;18.4
133;14.6;12.7;17
134;12.3;9.7;14.5
135;14.4;10.5;18.7
136;14.5;11.3;15.5
137;13.5;10;16.9
138;13.8;10.3;17.4
139;13.8;8.6;17.5
140;14.6;11.9;18.6
141;12.9;9.9;17.6
142;13.1;9.3;16.2
143;13;11.9;15
144;12.8;9;16.4
145;11.7;7.1;16.8
146;12.3;7;17.1
147;12.4;7.5;16.9
148;12.4;8.2;17.3
149;13;8.8;17.5
150;12.3;8.8;16.5
151;11.6;5.5;16.4
152;11.9;7.2;17.4
153;11.4;8;17.2
154;12.4;7.8;16.2
155;15.4;13.3;18.7
156;15;13.8;16.1
157;13.7;10.8;15.5
158;12.1;8.3;16
159;12.1;8.4;14.2
160;7.5;4.2;11.3
161;5.4;1.4;9.8
162;6.3;4.6;8
163;6.8;4.9;8.8
164;6.8;4.3;8.7
165;8.2;7.2;10
166;9.3;7.8;10
167;8.7;3.4;11.7
168;11.5;8.6;13.4
169;9.7;6.3;13
170;9.7;6.5;12
171;12.4;8.6;14.8
172;11.2;7.7;13.9
173;11.7;10;13.3
174;10.3;6.1;13
175;10.7;4.6;15.9
176;11.4;7.3;17
177;10.7;6.9;13.3
178;11;8.1;15.2
179;10.4;7.6;14.7
180;9.8;7.3;14.5
181;7.3;4.1;12
182;8.7;5;15.1
183;9.3;3.6;14.7
184;12.1;9.3;14.2
185;13;10.9;14.9
186;15;13.9;16.9
187;16.1;14.4;18.1
188;12.7;7.3;16.6
189;13.7;12.4;16.7
190;14.7;13.9;15.6
191;13.1;12.2;14
192;13.4;11.4;15.6
193;11.6;9;13.6
194;9.7;8.7;11.8
195;14.3;13.8;14.8
196;12.7;11.6;13.8
197;13;10.5;15.3
198;12.9;10.7;14.2
199;11.6;8.9;13.2
200;8.3;5.2;10
201;5.2;2.6;6.7
202;2.8;0.9;5.4
203;3.3;-0.9;7
204;4.7;3.7;6.8
205;6.5;4.7;7.6
206;5;1.9;9.3
207;5.7;3.8;7
208;6.7;5.3;8.1
209;10.4;7.9;12.4
210;9.4;6.8;12.2
211;9.5;6.2;12.7
212;10.8;9.4;12.1
213;9.6;8.4;11
214;9.5;8.1;11
215;8.2;7.5;9.3
216;10.3;8.1;12.3
217;10.9;9.6;12.3
218;9.7;8;11.3
219;7.8;5.5;9.9
220;6.6;5.6;7.5
221;7.7;5.6;9.6
222;7.7;5.3;11.7
223;7.4;4.6;11.9
224;7.3;4.9;9.3
225;7;4.6;9.1
226;11.3;9.2;13.2
227;12.8;11.1;14.3
228;11.6;10.1;12.8
229;11.9;9.6;13.6
230;11.5;9.9;12.4
231;10;8.3;11.8
232;12.1;8.6;13.4
233;10.4;7.5;12.6
234;9.3;6.7;12.3
235;8.8;5.3;13.2
236;13;11.2;14.4
237;11.8;10.7;13.1
238;9.3;7;11.7
239;7.7;5.6;9.7
240;7.4;6.1;9.3
